id,title,genres,release_year
862,"Toy Story","Animation,Comedy,Family",1995
8844,"Jumanji","Adventure,Fantasy,Family",1995
15602,"Grumpier Old Men","Romance,Comedy",1995
31357,"Waiting to Exhale","Comedy,Drama,Romance",1995
11862,"Father of the Bride Part II","Comedy",1995
949,"Heat","Action,Crime,Drama,Thriller",1995
11860,"Sabrina","Comedy,Romance",1995
45325,"Tom and Huck","Action,Adventure,Drama,Family",1995
9091,"Sudden Death","Action,Adventure,Thriller",1995
710,"GoldenEye","Adventure,Action,Thriller",1995
9087,"The American President","Comedy,Drama,Romance",1995
12110,"Dracula: Dead and Loving It","Comedy,Horror",1995
21032,"Balto","Family,Animation,Adventure",1995
10858,"Nixon","History,Drama",1995
1408,"Cutthroat Island","Action,Adventure",1995
524,"Casino","Drama,Crime",1995
4584,"Sense and Sensibility","Drama,Romance",1995
5,"Four Rooms","Crime,Comedy",1995
9273,"Ace Ventura: When Nature Calls","Crime,Comedy,Adventure",1995
11517,"Money Train","Action,Comedy,Crime",1995
8012,"Get Shorty","Comedy,Thriller,Crime",1995
1710,"Copycat","Drama,Thriller",1995
9691,"Assassins","Action,Adventure,Crime,Thriller",1995
12665,"Powder","Drama,Fantasy,Science Fiction,Thriller",1995
451,"Leaving Las Vegas","Drama,Romance",1995
16420,"Othello","Drama",1995
9263,"Now and Then","Comedy,Drama,Family",1995
17015,"Persuasion","Drama,Romance",1995
902,"The City of Lost Children","Fantasy,Science Fiction,Adventure",1995
37557,"Shanghai Triad","Drama,Crime",1995
9909,"Dangerous Minds","Drama,Crime",1995
63,"Twelve Monkeys","Science Fiction,Thriller,Mystery",1995
78802,"Wings of Courage","Romance,Adventure",1996
9598,"Babe","Fantasy,Drama,Comedy,Family",1995
47018,"Carrington","History,Drama,Romance",1995
687,"Dead Man Walking","Drama",1995
139405,"Across the Sea of Time","Adventure,History,Drama,Family",1995
33689,"It Takes Two","Comedy,Family,Romance",1995
9603,"Clueless","Comedy,Drama,Romance",1995
